america,America
american,American
donald trump,Donald Trump
donald j trump,Donald J. Trump
donald j. trump,Donald J. Trump
trump,Trump
medicare,Medicare
medicaid,Medicaid
social security,Social Security
barack obama,Barack Obama
obama,Obama
obamacare,Obamacare
i,I
i'll,I'll
i'm,I'm
i'd,I'd
--,â€”
pence,Pence
mike pence,Mike Pence
michael pence,Michael Pence
michael richard pence,Michael Richard Pence
washington,Washington
district of columbia,District of Columbia
god,God
scripture,Scripture 
mexico,Mexico
china,China
earth,Earth
new york,New York
united states of america,United States of America
founding fathers,Founding Fathers
affordable care act,Affordable Care Act
president trump,President Trump
michelle obama,Michelle Obama
president obama,President Obama
george bush,George Bush
bill clinton,Bill Clinton
white house,White House
united states,United States
americans,Americans
america's,America's
constitution,Constitution 
mr.,Mr.
mrs.,Mrs.
